An_tot,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,Ci,cics,Ev,blade,root_length
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
,,,,,,,,,,,,617.1863827374945,1329.0314815681602
-2.537445034873776,8.0,-0.7898426325610197,0.9836520770689048,0.0,115.15508990044519,17.045926623066862,0.7898426325610197,1.0604210000000003,226.48497011015246,0.6470999146004356,6.808414911600086,617.1863827374945,1329.0314815681602
-3.356259366715158,8.0,-0.7898426325610197,0.9836063287574512,0.0,115.15292633674945,17.045926623066862,0.7898426325610197,1.0604210000000003,226.4815460678076,0.6470901316223074,9.005550149365826,617.1863827374945,1329.0314815681602
-4.170764746252441,8.0,-0.7898426325610197,0.9836074386752971,0.0,115.1529788289812,17.045926623066862,0.7898426325610197,1.0604210000000003,226.48162914168455,0.6470903689762416,11.191124442419804,617.1863827374945,1329.0314815681602
164.6072647152951,148046.11102841308,17.459699367910797,0.9835914855562573,27.106743340317962,118.62288551947348,18.27387008680799,0.8141707188971936,1.0604210000000003,226.5596915479834,0.6473134044228097,30026.901855133154,617.1863827374945,1329.0314815681602
206.84092168241008,167637.7563763049,19.79672254545215,0.9835911635380705,76.80000000000197,125.19582940823261,20.657455222601655,0.8607326771495074,1.0604210000000003,226.76737310607325,0.6479067803030665,44883.07929430095,617.1863827374945,1329.0314815681602
255.59601323469303,188759.3331460851,22.296953183020857,0.9835863101911195,126.49325665968584,132.05113156211362,23.20691067021281,0.9099574871919553,1.0604210000000003,227.0503482818038,0.6487152808051537,63794.27567700213,617.1863827374945,1329.0314815681602
386.22781374392474,209799.53234468086,24.766923293515894,0.9835730356407121,172.80000000000163,138.70368007428146,25.725281663770016,0.9583583702541147,1.0604210000000003,227.3769304229603,0.6496483726370295,85805.44447693798,617.1863827374945,1329.0314815681602
448.01351728755407,228900.14854275843,26.990593045380024,0.9835691883850565,212.56450198781815,144.62818651189312,27.992563694535185,1.0019706491551599,1.0604210000000003,227.70413325154132,0.6505832378615467,89121.07346722537,617.1863827374945,1329.0314815681602
506.088515646164,244196.87254325382,28.75835260165038,0.9835710238876093,243.07687752661298,149.31091232154992,29.79512917217085,1.0367765705204715,1.0604210000000003,227.98326408255986,0.6513807545215996,105596.48776825935,617.1863827374945,1329.0314815681602
555.8202786038406,254096.96841201486,29.895993385378,0.9835838743976438,262.2577586475013,152.31728508216645,30.955266163500905,1.059272778122902,1.0604210000000003,228.1715461376984,0.6519187032505669,117594.86850994715,617.1863827374945,1329.0314815681602
593.0624720406198,257524.082376672,30.288577269606115,0.983592499226308,268.79999999999995,153.35405931237406,31.35563419705745,1.0670569274513395,1.0604210000000003,228.23815154141812,0.6521090044040517,107661.88408463798,617.1863827374945,1329.0314815681602
614.7752337769276,254097.0539462868,29.895993385378,0.9835844299234482,262.2577586475009,152.31731983681297,30.955266163500905,1.059272778122902,1.0604210000000003,228.17158715008827,0.6519188204288237,112841.49483767571,617.1863827374945,1329.0314815681602
619.5131452926069,244200.36976401522,28.758352601650383,0.983594658238563,243.07687752661198,149.3123617189319,29.795129172170846,1.0367765705204715,1.0604210000000003,227.98501156295148,0.6513857473227186,110094.12653514993,617.1863827374945,1329.0314815681602
691.9482059477499,228902.29454986035,26.99059304537982,0.9835846603787017,212.56450198781684,144.6291055962129,27.99256369453498,1.0019706491551559,1.0604210000000003,227.70527984740352,0.6505865138497243,91171.30042104707,617.1863827374945,1329.0314815681602
658.9140712072005,209802.76518267984,24.76692329351571,0.9835984654450523,172.79999999999973,138.7051287841997,25.72528166376982,0.958358370254111,1.0604210000000003,227.37881999522742,0.6496537714149354,80531.67880767495,617.1863827374945,1329.0314815681602
614.6704007408363,188761.23587983794,22.296953183020857,0.9836029457930382,126.49325665968408,132.05203380084504,23.20691067021281,0.9099574871919552,1.0604210000000003,227.05158767862193,0.6487188219389197,68554.73465843806,617.1863827374945,1329.0314815681602
564.7065957550872,167640.42360925558,19.796722545452145,0.9836174215375866,76.80000000000013,125.19717956895596,20.657455222601655,0.8607326771495075,1.0604210000000003,226.76933387850463,0.6479123825100133,49746.72216375188,617.1863827374945,1329.0314815681602
569.1784031034251,148046.81533230504,17.459699367910797,0.9835993367996386,27.106743340316196,118.62326802493796,18.27387008680799,0.8141707188971937,1.0604210000000003,226.56027881035905,0.6473150823153115,38696.705513810666,617.1863827374945,1329.0314815681602
