An,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,blade,root_length
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
0.0,,,,,,,,,488.8791311653862,1538.5926296013693
19.79672254545215,169115.9239175821,19.79672254545215,998143.2192833001,76.80000000000197,125.93755572931444,20.657455222601655,0.8607326771495074,1.0604210000000003,488.8791311653862,1538.5926296013693
22.296953183020857,190424.19086017113,22.296953183020857,998142.1618130455,126.49325665968584,132.83368075029688,23.20691067021281,0.9099574871919553,1.0604210000000003,488.8791311653862,1538.5926296013693
24.766923293515898,211651.53321380398,24.766923293515898,998141.0466980572,172.80000000000163,139.52635128730037,25.725281663770016,0.9583583702541147,1.0604210000000003,488.8791311653862,1538.5926296013693
26.990593045380027,230921.1504908783,26.990593045380027,998139.9366573318,212.56450198781815,145.4861619155598,27.99256369453519,1.0019706491551599,1.0604210000000003,488.8791311653862,1538.5926296013693
57.51670520330076,246352.376384247,28.75835260165038,998138.0008489011,243.07687752661295,150.1964370990902,29.795129172170853,1.0367765705204715,1.0604210000000003,488.8791311653862,1538.5926296013693
59.791986770756004,256337.82564196206,29.895993385378002,998137.736689579,262.25775864750136,153.21981494161963,30.955266163500905,1.059272778122902,1.0604210000000003,488.8791311653862,1538.5926296013693
60.57715453921222,259793.78099255025,30.28857726960611,998137.575052636,268.79999999999995,154.2621759372432,31.35563419705745,1.0670569274513395,1.0604210000000003,488.8791311653862,1538.5926296013693
89.68798015613402,256337.52960418348,29.895993385378006,998135.8139909771,262.25775864750096,153.21969675105746,30.955266163500905,1.059272778122902,1.0604210000000003,488.8791311653862,1538.5926296013693
86.27505780495115,246352.12742846782,28.75835260165038,998136.3183962747,243.07687752661198,150.19633571739888,29.795129172170853,1.0367765705204715,1.0604210000000003,488.8791311653862,1538.5926296013693
80.97177913613946,230920.72723775633,26.99059304537982,998136.8851438607,212.56450198781684,145.4859838037533,27.99256369453498,1.0019706491551559,1.0604210000000003,488.8791311653862,1538.5926296013693
74.30076988054714,211651.0800699602,24.76692329351571,998137.4822264569,172.79999999999973,139.5261517581215,25.72528166376982,0.958358370254111,1.0604210000000003,488.8791311653862,1538.5926296013693
89.18781273208343,190423.54261413572,22.296953183020857,998136.4941977136,126.49325665968408,132.83337871120074,23.20691067021281,0.9099574871919553,1.0604210000000003,488.8791311653862,1538.5926296013693
79.1868901818086,169115.3221780639,19.79672254545215,998137.2953627909,76.80000000000013,125.93725642125143,20.657455222601655,0.8607326771495074,1.0604210000000003,488.8791311653862,1538.5926296013693
69.83879747164319,149351.02055225262,17.459699367910797,998137.9936457603,27.106743340316196,119.32540429723848,18.27387008680799,0.8141707188971936,1.0604210000000003,488.8791311653862,1538.5926296013693
-3.9492131628050986,8.0,-0.7898426325610197,998137.6902758378,0.0,115.83417475826087,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
-3.9492131628050986,8.0,-0.7898426325610197,998138.1204020338,0.0,115.83419474706308,17.045926623066862,0.7898426325610197,1.0604210000000003,488.8791311653862,1538.5926296013693
