An_tot,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,Ci,cics,blade,root_length
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62052876830862,1560.9215467308568
4.034121444333305e-05,387646.1904137074,45.42767419303102,957050.0442014715,126.49325665968584,191.40432200760242,46.80787870947325,1.3802045164422334,1.0604210000000003,229.24853673597676,654995.8192456479,39.62052876830862,1560.9215467308568
4.494318203980926e-05,432055.27525793365,50.609885177612725,943196.835679875,172.80000000000163,204.08722210148224,52.10503198228791,1.495146804675193,1.0604210000000003,229.39969775024957,655427.707857856,39.62052876830862,1560.9215467308568
4.90307924132794e-05,471223.1546465768,55.21288572770506,928674.7833975557,212.56450198781815,215.178932245397,56.814345701815796,1.601459974110734,1.0604210000000003,229.43013898942198,655514.68282692,39.62052876830862,1560.9215467308568
7.053751540858738e-05,501062.66028685065,58.82747512267086,913673.3437540838,243.07687752661295,223.54331744079272,60.51561014702218,1.688135024351321,1.0604210000000003,229.2235359856959,654924.3885305597,39.62052876830862,1560.9215467308568
7.329838812303478e-05,520156.2782374598,61.130011155946605,904233.6324030035,262.25775864750136,228.88112605447466,62.87501795043046,1.7450067944838619,1.0604210000000003,229.1209726503341,654631.350429526,39.62052876830862,1560.9215467308568
7.424539076046151e-05,526566.7632435823,61.9198004442654,900544.4583730267,268.79999999999995,230.66384217642104,63.68464013958285,1.764839695317452,1.0604210000000003,229.05501800402746,654442.9085829356,39.62052876830862,1560.9215467308568
7.329838812303478e-05,519868.60238931107,61.130011155946605,903364.8223063456,262.25775864750096,228.7877459044239,62.87501795043046,1.7450067944838619,1.0604210000000003,229.05408168582187,654440.2333880625,39.62052876830862,1560.9215467308568
0.00010072069677242196,499612.7370770247,58.827475122670585,909100.2465610353,243.07687752661198,223.06995048717414,60.5156101470219,1.6881350243513142,1.0604210000000003,228.8730256986117,653922.930567462,39.62052876830862,1560.9215467308568
9.453202452959721e-05,469389.2585358373,55.21288572770506,922465.9625399826,212.56450198781684,214.57540924854453,56.8143457018158,1.601459974110734,1.0604210000000003,228.9590664941606,654168.7614118875,39.62052876830862,1560.9215467308568
8.665105697689535e-05,430542.46839746105,50.609885177612725,937559.9234940032,172.79999999999973,203.58035070756875,52.10503198228792,1.495146804675193,1.0604210000000003,228.97593384933313,654216.9538552376,39.62052876830862,1560.9215467308568
7.77784018085343e-05,386477.0845152989,45.42767419303076,952152.9601912748,126.49325665968408,191.00098791847842,46.80787870947299,1.380204516442228,1.0604210000000003,228.8832520224447,653952.1486355563,39.62052876830862,1560.9215467308568
9.200503681462997e-05,340805.9900319596,40.10351750662806,963687.0355043105,76.80000000000013,177.81570040258939,41.37018437357448,1.2666668669464245,1.0604210000000003,228.60789797898445,653165.4227970984,39.62052876830862,1560.9215467308568
5.9521061119605784e-05,222992.68050761934,25.94427434915852,974778.5809329601,27.106743340316196,165.29926299299413,36.208586079938826,1.162468991157676,1.0604210000000003,228.4367460622298,652676.4173206566,39.62052876830862,1560.9215467308568
-2.5449215910772452e-06,8.0,-1.1092904379397321,998133.4002985562,0.0,159.8840798879649,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66551102098072,656187.1743456592,39.62052876830862,1560.9215467308568
-2.5449215910772452e-06,8.0,-1.1092904379397321,998133.3614215847,0.0,159.88407739416022,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66550821084573,656187.1663167021,39.62052876830862,1560.9215467308568
-3.1251177238284532e-06,8.0,-1.1092904379397321,998131.7122861791,0.0,159.88397160995524,33.51697682499905,1.1092904379397321,1.0604210000000003,229.6653890082891,656186.8257379689,39.62052876830862,1560.9215467308568
-3.1251177238284532e-06,8.0,-1.1092904379397321,998131.6094853625,0.0,159.8839650157516,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66538157763415,656186.8045075261,39.62052876830862,1560.9215467308568
-3.1251177238284532e-06,8.0,-1.1092904379397321,998131.6173412758,0.0,159.88396551964604,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66538214544585,656186.8061298453,39.62052876830862,1560.9215467308568
-3.1251177238284532e-06,8.0,-1.1092904379397321,998131.5692362218,0.0,159.88396243391193,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66537866829728,656186.7961951351,39.62052876830862,1560.9215467308568
-3.5032995227169077e-06,8.0,-1.1092904379397321,998130.2481559978,0.0,159.88387769271148,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66528317797577,656186.5233656451,39.62052876830862,1560.9215467308568
-3.5032995227169077e-06,8.0,-1.1092904379397321,998130.1855444623,0.0,159.8838736764638,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66527865228127,656186.5104350894,39.62052876830862,1560.9215467308568
-3.5032995227169077e-06,8.0,-1.1092904379397321,998130.1012287239,0.0,159.88386826799257,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66527255776464,656186.4930221847,39.62052876830862,1560.9215467308568
8.193576797925579e-05,222893.89212999525,25.94427434915663,974051.3753124924,27.106743340314296,165.2491561578976,36.2085860799386,1.1624689911576713,1.0604210000000003,228.38286630771898,652522.4751649114,39.62052876830862,1560.9215467308568
0.00012827398575786966,340565.8657243046,40.1035175066276,962538.2976437298,76.79999999999781,177.72896666521444,41.37018437357401,1.2666668669464147,1.0604210000000003,228.5223054885306,652920.8728243732,39.62052876830862,1560.9215467308568
0.00014530368393463056,385723.8158363344,45.42767419303051,948997.7113740746,126.49325665968153,190.73981983052946,46.80787870947272,1.3802045164422223,1.0604210000000003,228.64672177924783,653276.347940708,39.62052876830862,1560.9215467308568
0.0001618793585726642,429402.9997130827,50.60988517761247,933314.1171850786,172.799999999998,203.19620941710943,52.10503198228764,1.4951468046751872,1.0604210000000003,228.6547770160564,653299.3629030184,39.62052876830862,1560.9215467308568
