An,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,Ci,blade,root_length
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
0.0,,,,,,,,,,484.1099130438859,1638.5026390690737
-1.1092904379397321,8.0,-1.1092904379397321,998143.2663923034,0.0,159.88471274622097,33.51697682499905,1.1092904379397321,1.0604210000000003,229.6662241550645,484.1099130438859,1638.5026390690737
-1.1092904379397321,8.0,-1.1092904379397321,998141.9064031771,0.0,159.8846255105847,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66612585389683,484.1099130438859,1638.5026390690737
-1.1092904379397321,8.0,-1.1092904379397321,998140.4538391194,0.0,159.88453233663097,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66602086115716,484.1099130438859,1638.5026390690737
-2.2185808758794643,8.0,-1.1092904379397321,998136.7575719259,0.0,159.88429524038202,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66575369008902,484.1099130438859,1638.5026390690737
-2.2185808758794643,8.0,-1.1092904379397321,998136.1210602573,0.0,159.8842544112327,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66570768190678,484.1099130438859,1638.5026390690737
51.88854869832057,226165.1181088004,25.944274349160285,998131.6768132969,27.106743340317962,166.8850925499089,36.20858607993907,1.1624689911576807,1.0604210000000003,230.1419846201793,484.1099130438859,1638.5026390690737
120.31055251988417,348004.8874972334,40.10351750662806,998126.056500173,76.80000000000197,180.36038205041112,41.37018437357448,1.2666668669464245,1.0604210000000003,231.11909657648567,484.1099130438859,1638.5026390690737
136.28302257909306,397451.9513577372,45.427674193031024,998123.8555578984,126.49325665968584,194.69383224654482,46.80787870947325,1.3802045164422334,1.0604210000000003,232.22772405908248,484.1099130438859,1638.5026390690737
151.82965553283816,446795.69784170086,50.609885177612725,998121.5387985435,172.80000000000163,208.84638913670042,52.10503198228792,1.495146804675193,1.0604210000000003,233.3785436906086,484.1099130438859,1638.5026390690737
165.63865718311519,491734.9431946084,55.21288572770506,998119.2954488941,212.56450198781815,221.6224697582711,56.8143457018158,1.601459974110734,1.0604210000000003,234.45956340295757,484.1099130438859,1638.5026390690737
235.30990049068345,527834.8367833047,58.82747512267086,998113.515728875,243.07687752661295,231.81648250785864,60.51561014702218,1.688135024351321,1.0604210000000003,235.349501139346,484.1099130438859,1638.5026390690737
244.52004462378642,551240.7952486532,61.130011155946605,998112.0111506643,262.25775864750136,238.39696628840588,62.87501795043046,1.7450067944838619,1.0604210000000003,235.93745057466924,484.1099130438859,1638.5026390690737
247.6792017770616,559347.6801156447,61.9198004442654,998111.190136129,268.79999999999995,240.6714106717939,63.68464013958285,1.764839695317452,1.0604210000000003,236.14317487878876,484.1099130438859,1638.5026390690737
305.650055779733,551239.2541865953,61.130011155946605,998107.3569877096,262.25775864750096,238.39652112533346,62.87501795043046,1.7450067944838619,1.0604210000000003,235.9371316911885,484.1099130438859,1638.5026390690737
294.13737561335296,527833.0722520426,58.82747512267059,998107.9503493471,243.07687752661198,231.8159648827791,60.515610147021896,1.688135024351314,1.0604210000000003,235.34911785759476,484.1099130438859,1638.5026390690737
276.0644286385253,491731.95016484574,55.21288572770506,998109.1622764048,212.56450198781684,221.62156874264744,56.814345701815796,1.6014599741107343,1.0604210000000003,234.45886012623023,484.1099130438859,1638.5026390690737
253.0494258880636,446792.80869576044,50.609885177612725,998110.7734706067,172.79999999999973,208.8454870959522,52.10503198228791,1.495146804675193,1.0604210000000003,233.37778954999067,484.1099130438859,1638.5026390690737
272.5660451581846,397448.39953928144,45.42767419303076,998108.9779036342,126.49325665968408,194.6926701075108,46.80787870947299,1.380204516442228,1.0604210000000003,232.22667155289628,484.1099130438859,1638.5026390690737
240.62110503976837,348001.6723948043,40.10351750662806,998110.6756754573,76.80000000000013,180.35926906127008,41.37018437357448,1.2666668669464245,1.0604210000000003,231.11799823211228,484.1099130438859,1638.5026390690737
155.6656460949511,226162.48917384492,25.944274349158515,998112.3245745925,27.106743340316193,166.88379681606287,36.20858607993883,1.162468991157676,1.0604210000000003,230.14059132081468,484.1099130438859,1638.5026390690737
-6.655742627638392,8.0,-1.1092904379397321,998116.9523245757,0.0,159.88302481291083,33.51697682499905,1.1092904379397321,1.0604210000000003,229.66432211339395,484.1099130438859,1638.5026390690737
-7.765033065578124,8.0,-1.1092904379397321,998113.4180824106,0.0,159.8827981021049,33.51697682499905,1.1092904379397321,1.0604210000000003,229.6640666451255,484.1099130438859,1638.5026390690737
