An,gco2,An_mean,Fw_mean,Vj,Vp,Vc,Rd,Rd_ref,blade,root_length
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
0.0,,,,,,,,,469.4434479543152,1504.3936703307409
-1.1092904379397321,8.0,-1.1092904379397321,916726.7580130816,0.0,154.39377605012632,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-1.1092904379397321,8.0,-1.1092904379397321,916724.7253174246,0.0,154.39363191072908,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
35.04611708878138,287329.8162584661,35.04611708878138,916715.5181683372,27157568.48408106,161.1536584969422,36.20858607993907,1.1624689911576807,1.0604210000000003,469.4434479543152,1504.3936703307409
80.20703501325612,330985.53881919937,40.10351750662806,916706.6850914113,76944000.00000198,174.1658442429543,41.37018437357448,1.2666668669464245,1.0604210000000003,469.4434479543152,1504.3936703307409
90.85534838606203,378014.07726849325,45.42767419303102,916703.5988263002,126730431.51592274,188.00690679593228,46.80787870947325,1.3802045164422334,1.0604210000000003,469.4434479543152,1504.3936703307409
101.21977035522545,424944.22929583554,50.609885177612725,916700.1673440869,173124000.00000164,201.67325166770624,52.10503198228791,1.495146804675193,1.0604210000000003,469.4434479543152,1504.3936703307409
110.42577145541011,467685.21725706535,55.21288572770506,916696.7769400749,212963060.4290453,214.0103782994214,56.814345701815796,1.601459974110734,1.0604210000000003,469.4434479543152,1504.3936703307409
176.48242536801257,502018.8353440432,58.827475122670855,916689.1458603503,243532646.67197534,223.85399063983823,60.51561014702218,1.6881350243513211,1.0604210000000003,469.4434479543152,1504.3936703307409
183.3900334678398,524280.02430507494,61.130011155946605,916687.76173869,262749491.94496542,230.2084388909866,62.87501795043046,1.7450067944838619,1.0604210000000003,469.4434479543152,1504.3936703307409
185.7594013327962,531990.5297069872,61.9198004442654,916687.3615671629,269304000.00000006,232.40479384276196,63.68464013958285,1.764839695317452,1.0604210000000003,469.4434479543152,1504.3936703307409
183.3900334678398,524280.12929511745,61.130011155946605,916688.0788192156,262749491.94496498,230.20847241621422,62.87501795043046,1.7450067944838619,1.0604210000000003,469.4434479543152,1504.3936703307409
235.30990049068237,502017.53994735563,58.82747512267059,916685.0601440147,243532646.67197442,223.85357054282298,60.5156101470219,1.688135024351314,1.0604210000000003,469.4434479543152,1504.3936703307409
220.85154291082023,467682.71959628625,55.21288572770506,916688.320884004,212963060.42904404,214.00954708547349,56.814345701815796,1.601459974110734,1.0604210000000003,469.4434479543152,1504.3936703307409
202.4395407104509,424942.0351124357,50.609885177612725,916691.9915356162,173123999.99999973,201.6724943334095,52.10503198228791,1.495146804675193,1.0604210000000003,469.4434479543152,1504.3936703307409
181.71069677212304,378012.1945167361,45.42767419303076,916695.7124632885,126730431.515921,188.00622577937918,46.80787870947299,1.380204516442228,1.0604210000000003,469.4434479543152,1504.3936703307409
200.5175875331403,330983.0455802956,40.10351750662806,916694.7576112146,76944000.00000015,174.1648900929001,41.37018437357448,1.2666668669464245,1.0604210000000003,469.4434479543152,1504.3936703307409
175.23058544390577,287326.70876481826,35.04611708878115,916698.3932937199,27157568.484079283,161.152390944984,36.208586079938826,1.162468991157676,1.0604210000000003,469.4434479543152,1504.3936703307409
-5.54645218969866,8.0,-1.1092904379397321,916706.6852952684,0.0,154.39235265353037,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-6.655742627638392,8.0,-1.1092904379397321,916702.8675160097,0.0,154.39208192333712,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-6.655742627638392,8.0,-1.1092904379397321,916704.1009419082,0.0,154.39216938849572,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-6.655742627638392,8.0,-1.1092904379397321,916705.1811531648,0.0,154.39224598871124,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-6.655742627638392,8.0,-1.1092904379397321,916706.1346368203,0.0,154.3923136022836,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-6.655742627638392,8.0,-1.1092904379397321,916706.9818679446,0.0,154.39237368117674,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
-7.765033065578124,8.0,-1.1092904379397321,916704.3695437446,0.0,154.3921884339717,33.51697682499905,1.1092904379397321,1.0604210000000003,469.4434479543152,1504.3936703307409
